10:6:value:1308639358026:1572586000
10:3:value:1308639358026:2660725000
10:2:value:1308639358026:3879768000
10:1:value:1308639358026:5144106000
10:10:value:1308639358026:6316522000
10:7:value:1308639358026:7617626000
10:9:value:1308639358026:8801827000
10:8:value:1308639358026:9944428000
10:4:value:1308639358026:11077972000
10:5:value:1308639358026:12239955000
9:8:value:1308639358026:13153304000
9:7:value:1308639358026:14243465000
9:5:value:1308639358026:15335372000
9:10:value:1308639358026:16418388000
9:6:value:1308639358026:17488146000
9:9:value:1308639358026:18578384000
9:2:value:1308639358026:19637437000
9:1:value:1308639358026:20711077000
9:4:value:1308639358026:21800634000
9:3:value:1308639358026:22881527000
8:10:value:1308639358026:1163242000
8:8:value:1308639358026:2234934000
8:9:value:1308639358026:3317743000
8:7:value:1308639358026:4415082000
8:3:value:1308639358026:5476986000
8:2:value:1308639358026:6558082000
8:1:value:1308639358026:7637690000
8:6:value:1308639358026:8731359000
8:5:value:1308639358026:9820365000
8:4:value:1308639358026:10925780000
7:8:value:1308639358026:1189416000
7:6:value:1308639358026:2368296000
7:5:value:1308639358026:3451152000
7:3:value:1308639358026:4570509000
7:2:value:1308639358026:5634425000
7:4:value:1308639358026:6765073000
7:7:value:1308639358026:7840699000
7:1:value:1308639358026:8897791000
7:10:value:1308639358026:10024898000
7:9:value:1308639358026:11181501000
6:9:value:1308639358026:1332726000
6:10:value:1308639358026:2493655000
6:8:value:1308639358026:3728123000
6:7:value:1308639358026:4792356000
6:6:value:1308639358026:5984348000
6:5:value:1308639358026:7098862000
6:3:value:1308639358026:8255171000
6:2:value:1308639358026:9355050000
6:4:value:1308639358026:10463999000
6:1:value:1308639358026:11561298000
5:9:value:1308639358026:12604417000
5:10:value:1308639358026:13714492000
5:8:value:1308639358026:14886089000
5:2:value:1308639358026:15973641000
5:7:value:1308639358026:17189514000
5:6:value:1308639358026:18275682000
5:1:value:1308639358026:19328563000
5:4:value:1308639358026:20423992000
5:3:value:1308639358026:21495628000
5:5:value:1308639358026:22575361000
4:8:value:1308639358026:1127658000
4:10:value:1308639358026:2245740000
4:9:value:1308639358026:3316719000
4:3:value:1308639358026:4369425000
4:4:value:1308639358026:5455964000
4:1:value:1308639358026:6547691000
4:6:value:1308639358026:7624711000
4:7:value:1308639358026:8691723000
4:5:value:1308639358026:9805019000
4:2:value:1308639358026:10838403000
3:10:value:1308639358026:1215138000
3:9:value:1308639358026:2285202000
3:8:value:1308639358026:3358748000
3:6:value:1308639358026:4402406000
3:2:value:1308639358026:5493258000
3:4:value:1308639358026:6576531000
3:1:value:1308639358026:7636503000
3:5:value:1308639358026:8774343000
3:3:value:1308639358026:9826592000
3:7:value:1308639358026:10902482000
2:10:value:1308639358026:1140317000
2:9:value:1308639358026:2224459000
2:8:value:1308639358026:3313256000
2:7:value:1308639358026:4397624000
2:5:value:1308639358026:5529480000
2:6:value:1308639358026:6710219000
2:2:value:1308639358026:7776510000
2:4:value:1308639358026:8874609000
2:1:value:1308639358026:9940405000
2:3:value:1308639358026:11041232000
1:10:value:1308639358026:1168585000
1:9:value:1308639358026:2304416000
1:8:value:1308639358026:3378255000
1:2:value:1308639358026:4447525000
1:1:value:1308639358026:5510130000
1:6:value:1308639358026:6589236000
1:5:value:1308639358026:7654314000
1:7:value:1308639358026:8721348000
1:4:value:1308639358026:9812982000
1:3:value:1308639358026:10911209000
10:29:value:1308639358026:1622523000
10:27:value:1308639358026:2691691000
10:32:value:1308639358026:3840407000
10:31:value:1308639358026:4968692000
