CPU,Local,1,100,8551816060
CPU,Local,2,500,28696942572
CPU,Local,3,1200,68704826862
CPU,Local,4,100,50963125310
CPU,Local,5,500,147090749742
CPU,Local,6,1200,357497360477
CPU,Local,7,100,88211015100
CPU,Local,8,498,262729545801
CPU,Local,9,1200,639330592445
Memory,Local,1,100,8575557900
Memory,Local,2,500,29045438772
Memory,Local,3,1200,69087988700
Memory,Local,4,100,50092060530
Memory,Local,5,500,146967437674
Memory,Local,6,1200,335582080873
Memory,Local,7,90,79948780522
Memory,Local,8,500,419115064528
Memory,Local,9,1200,1084816799366
IO,Local,1,100,9640691630
IO,Local,2,500,47679600352
IO,Local,3,1200,133083409100
IO,Local,4,100,50719752270
IO,Local,5,500,185768945476
IO,Local,6,1200,444161076112
IO,Local,7,100,106153009110
IO,Local,8,500,366225986618
IO,Local,9,1199,1027701363665
CPU,GCP,1,100,8171588160
CPU,GCP,2,488,5452019040
CPU,GCP,3,1170,5919622370
CPU,GCP,4,100,11086362330
CPU,GCP,5,491,13065779238
CPU,GCP,6,1168,17544426505
CPU,GCP,7,99,18477559666
CPU,GCP,8,490,22006442255
CPU,GCP,9,1185,28464029464
Memory,GCP,1,100,5700931950
Memory,GCP,2,484,5234852045
Memory,GCP,3,1171,7293190324
Memory,GCP,4,0,
Memory,GCP,5,0,
Memory,GCP,6,0,
Memory,GCP,7,0,
Memory,GCP,8,0,
Memory,GCP,9,0,
IO,GCP,1,99,3204699131
IO,GCP,2,499,2918965845
IO,GCP,3,1181,2310807319
IO,GCP,4,100,2367623350
IO,GCP,5,490,2899304200
IO,GCP,6,1180,5994748162
IO,GCP,7,100,4020930520
IO,GCP,8,496,5258581905
IO,GCP,9,1178,8569852400
CPU,AWS,1,100,1998583310
CPU,AWS,2,487,2211547193
CPU,AWS,3,1186,2991968170
CPU,AWS,4,100,7449949050
CPU,AWS,5,485,7639291591
CPU,AWS,6,1187,8220860080
CPU,AWS,7,100,18772507330
CPU,AWS,8,495,18490397713
CPU,AWS,9,1184,18792447467
Memory,AWS,1,100,2532404610
Memory,AWS,2,493,2238779113
Memory,AWS,3,1183,2581314723
Memory,AWS,4,0,
Memory,AWS,5,0,
Memory,AWS,6,0,
Memory,AWS,7,0,
Memory,AWS,8,0,
Memory,AWS,9,0,
IO,AWS,1,100,799854180
IO,AWS,2,491,962824297
IO,AWS,3,1183,1595401726
IO,AWS,4,100,1244976720
IO,AWS,5,489,1558464480
IO,AWS,6,1178,2299350879
IO,AWS,7,100,1955484560
IO,AWS,8,493,2237362267
IO,AWS,9,1185,2874134570
CPU,Azure,1,100,13549001230
CPU,Azure,2,492,44863205524
CPU,Azure,3,277,88604061227
CPU,Azure,4,96,85519979333
CPU,Azure,5,7,37622118571
CPU,Azure,6,11,51632263000
CPU,Azure,7,20,97438273500
CPU,Azure,8,1,47589425000
CPU,Azure,9,3,52661030000
Memory,Azure,1,100,26273042770
Memory,Azure,2,498,65604173500
Memory,Azure,3,216,100242003592
Memory,Azure,4,0,
Memory,Azure,5,0,
Memory,Azure,6,0,
Memory,Azure,7,0,
Memory,Azure,8,0,
Memory,Azure,9,0,
IO,Azure,1,0,
IO,Azure,2,0,
IO,Azure,3,0,
IO,Azure,4,0,
IO,Azure,5,0,
IO,Azure,6,0,
IO,Azure,7,0,
IO,Azure,8,0,
IO,Azure,9,0,
