10:8:value::120249657000
10:7:value::120240027000
10:4:value::120259451000
10:2:value::120251521000
10:1:value::120246102000
10:9:value::120282897000
10:6:value::120276882000
10:3:value::120264214000
10:10:value::120286689000
10:5:value::120273647000
9:9:value::120109877000
9:7:value::120103422000
9:8:value::120107242000
9:10:value::120115973000
9:6:value::120111992000
9:5:value::120113328000
9:4:value::120107585000
9:3:value::120104989000
9:2:value::120106312000
9:1:value::120094353000
7:8:value::120104249000
7:7:value::120102782000
7:10:value::120115608000
7:6:value::120104967000
7:5:value::120103765000
7:1:value::120092211000
7:3:value::120098876000
6:10:value::120108229000
6:2:value::120077389000
6:6:value::120099826000
6:3:value::120092475000
6:1:value::120076093000
7:2:value::120105857000
6:8:value::120105806000
6:9:value::120106372000
7:9:value::120134026000
6:5:value::120097553000
6:7:value::120104767000
7:4:value::120109749000
6:4:value::120095920000
5:3:value::120084174000
5:9:value::120105519000
5:2:value::120079727000
5:7:value::120096369000
5:6:value::120096752000
5:4:value::120091819000
5:5:value::120101336000
5:8:value::120115513000
5:10:value::120128927000
5:1:value::120084139000
4:2:value::120064240000
4:1:value::120064271000
4:8:value::120094815000
3:9:value::120104349000
3:8:value::120100113000
3:5:value::120094620000
2:7:value::120098283000
2:6:value::120105917000
2:4:value::120107497000
2:5:value::120119555000
2:8:value::120136713000
2:9:value::120135926000
2:3:value::120113595000
2:2:value::120093035000
1:10:value::120109165000
1:9:value::120106858000
1:8:value::120098021000
1:7:value::120099828000
1:6:value::120113434000
1:5:value::120110473000
1:4:value::120105282000
1:2:value::120092827000
1:3:value::120103237000
1:1:value::120084386000
10:36:value::120555711000
10:29:value::120532265000
10:32:value::120555224000
10:24:value::120447143000
10:30:value::120542473000
10:11:value::120306245000
10:3:value::120210605000
10:17:value::120378718000
10:49:value::120668076000
10:42:value::120651223000
10:50:value::120698799000
10:26:value::120442751000
10:37:value::120602609000
9:36:value::120115782000
9:37:value::120120310000
9:19:value::120054408000
9:20:value::120056368000
9:33:value::120121837000
9:32:value::120140125000
9:27:value::120162932000
9:21:value::120053780000
9:48:value::120299583000
9:28:value::120141996000
9:26:value::120101668000
9:29:value::120143968000
9:45:value::120433758000
9:44:value::120440280000
9:43:value::120436215000
9:41:value::120422355000
9:40:value::120416834000
9:39:value::120410339000
9:47:value::120458176000
9:42:value::120438629000
9:8:value::120157681000
9:3:value::120104047000
9:16:value::120193488000
9:9:value::120196060000
9:15:value::120223326000
9:6:value::120188156000
9:14:value::120221666000
9:18:value::120231086000
9:7:value::120203278000
9:5:value::120208749000
9:12:value::120241752000
9:49:value::120565190000
9:13:value::120251314000
9:30:value::120441386000
9:11:value::120242860000
9:25:value::120372926000
9:24:value::120372964000
9:23:value::120371698000
9:2:value::120106593000
9:1:value::120103170000
8:49:value::120120640000
8:48:value::120116365000
8:45:value::120111786000
8:50:value::120133457000
8:47:value::120132327000
8:40:value::120099490000
8:37:value::120104053000
8:39:value::120216083000
8:43:value::120177298000
8:44:value::120177911000
8:42:value::120174495000
8:36:value::120096220000
8:38:value::120082584000
8:35:value::120093677000
8:31:value::120176058000
8:30:value::120172237000
8:32:value::120191529000
8:24:value::120136209000
8:26:value::120146583000
8:27:value::120195364000
8:28:value::120228264000
8:34:value::120295183000
8:29:value::120236381000
8:18:value::120121488000
8:23:value::120173613000
8:21:value::120137101000
8:33:value::120289691000
8:25:value::120192500000
8:22:value::120173238000
8:16:value::120113948000
8:17:value::120123686000
8:20:value::120137393000
8:19:value::120134132000
8:14:value::120193672000
8:15:value::120200027000
8:12:value::120185208000
8:13:value::120193629000
8:11:value::120184040000
8:5:value::120119556000
8:10:value::120148260000
8:9:value::120147774000
8:6:value::120119942000
8:7:value::120128008000
8:8:value::120141612000
8:2:value::120092888000
8:3:value::120103882000
8:1:value::120096472000
8:4:value::120125537000
7:40:value::120096787000
7:29:value::120084753000
7:35:value::120161135000
7:27:value::120155053000
7:20:value::120108981000
7:43:value::120337625000
7:49:value::120365396000
7:18:value::120139094000
7:17:value::120135723000
7:16:value::120129973000
7:9:value::120063811000
7:3:value::120053801000
6:49:value::120256265000
6:48:value::120263658000
6:50:value::120268383000
6:44:value::120326592000
6:24:value::120275691000
6:46:value::120344691000
6:16:value::120139491000
6:47:value::120264146000
6:45:value::120338381000
6:29:value::120308424000
6:27:value::120396380000
6:19:value::120333083000
6:38:value::120485046000
6:12:value::120307578000
6:43:value::120524707000
6:20:value::120328723000
6:41:value::120515148000
6:42:value::120520420000
6:17:value::120332286000
6:18:value::120330934000
6:21:value::120326443000
6:28:value::120419897000
6:30:value::120450747000
6:3:value::120187892000
6:15:value::120340631000
6:23:value::120395805000
6:26:value::120425709000
6:4:value::120203259000
6:22:value::120398018000
6:10:value::120252375000
6:6:value::120229181000
6:8:value::120246760000
6:5:value::120227657000
6:1:value::120199464000
6:11:value::120268298000
6:2:value::120225647000
6:37:value::120578818000
6:35:value::120577506000
6:40:value::120613535000
6:32:value::120548857000
6:33:value::120564088000
6:39:value::120609260000
5:33:value::120113529000
5:34:value::120121298000
5:32:value::120121106000
5:31:value::120114297000
5:18:value::120040401000
5:20:value::120045432000
5:50:value::120280672000
5:47:value::120277031000
5:19:value::120071896000
5:35:value::120199266000
5:48:value::120278206000
5:49:value::120369889000
5:6:value::120123010000
5:2:value::120072378000
5:8:value::120133819000
5:5:value::120124733000
5:12:value::120186805000
5:16:value::120205802000
5:13:value::120201455000
5:4:value::120112126000
5:3:value::120111687000
5:10:value::120176622000
5:1:value::120102345000
5:46:value::120544291000
5:43:value::120540212000
5:28:value::120431934000
5:11:value::120222826000
5:9:value::120232365000
5:24:value::120442913000
5:22:value::120421652000
5:23:value::120433270000
5:7:value::120224551000
5:30:value::120486700000
5:37:value::120551108000
5:40:value::120570206000
5:41:value::120580213000
5:39:value::120568172000
5:45:value::120608252000
5:38:value::120567757000
5:36:value::120555874000
5:29:value::120511406000
5:27:value::120510718000
5:14:value::120344808000
5:15:value::120349447000
5:42:value::120626320000
5:25:value::120497109000
5:44:value::120637316000
5:21:value::120471831000
5:26:value::120482292000
4:37:value::120112576000
4:36:value::120108016000
4:34:value::120097531000
4:31:value::120135976000
4:26:value::120083125000
4:28:value::120123937000
4:49:value::120280506000
4:24:value::120079886000
4:21:value::120079811000
4:22:value::120078559000
4:8:value::120093400000
4:7:value::120097864000
4:15:value::120179599000
4:1:value::120052643000
4:14:value::120176357000
4:45:value::120554217000
4:48:value::120569243000
4:42:value::120545752000
4:43:value::120553173000
4:11:value::120218643000
4:41:value::120539184000
4:39:value::120529736000
4:40:value::120532964000
4:16:value::120309306000
4:18:value::120324258000
4:19:value::120327655000
3:33:value::120127904000
3:31:value::120115374000
3:17:value::120040108000
3:34:value::120147150000
3:30:value::120138028000
3:25:value::120131947000
3:46:value::120417420000
3:44:value::120413189000
3:48:value::120424053000
3:15:value::120186415000
3:10:value::120137956000
3:14:value::120194203000
3:9:value::120143179000
3:1:value::120061499000
3:2:value::120076803000
3:5:value::120142043000
3:12:value::120207336000
3:11:value::120200833000
3:13:value::120218336000
3:3:value::120105233000
3:6:value::120163393000
3:8:value::120170275000
3:7:value::120171774000
3:27:value::120425735000
3:19:value::120367756000
3:38:value::120566910000
3:39:value::120574108000
3:36:value::120551397000
3:35:value::120548879000
3:26:value::120459440000
2:38:value::120110718000
2:34:value::120086166000
2:36:value::120115468000
2:35:value::120104615000
2:37:value::120123254000
